URL,#_of_valid_wiki_pages_linked,#_of_supported_languages,word_count
Hipparchus_of_Nicaea,1117,76,11894
Bakhshali_manuscript,182,21,3176
Hindu%E2%80%93Arabic_numeral_system,1132,28,5243
Indian_mathematics,978,31,15305
Western_world,1102,82,17025
Islamic_mathematics,494,29,6232
Sine,247,10,8700
Cosine,247,10,8700
Infinite_series,555,80,14707
Al-Jabr,227,23,2485
Golden_Age_of_Islam,1459,80,16009
Spherical_trigonometry,93,36,7361
Decimal_point,367,36,6621
Omar_Khayyam,918,114,10576
Sharaf_al-D%C4%ABn_al-%E1%B9%AC%C5%ABs%C4%AB,277,19,2289
Early_modern_period,1153,75,14129
Western_Europe,721,136,3727
History_of_logarithms,253,6,6217
John_Napier,243,79,4881
Marine_navigation,773,13,4535
Gottfried_Leibniz,2406,155,22958
Carl_Gauss,940,159,18874
Matrix_theory,660,93,14516
Kurt_G%C3%B6del,1300,94,8481
Science,1087,243,16037
Bulletin_of_the_American_Mathematical_Society,23,10,545
Mathematical_Reviews,40,22,1118
Language_of_mathematics,74,9,1278
Glossary_of_mathematics,188,1,5801
Summation,105,49,5272
Concept,399,81,5605
Property_(philosophy),379,29,3224
Glossary_of_mathematical_symbols,584,57,11500
Operation_(mathematics),67,55,1491
Relation_(mathematics),156,4,4424
Expression_(mathematics),543,40,6380
Latin_alphabet,1011,33,3871
Greek_alphabet,2220,152,13527
Subscript,261,15,3331
Glyph,225,51,1511
Plus_sign,232,26,3969
Multiplication_sign,144,26,1677
Integral_sign,96,15,1140
Equals_sign,153,47,3617
Less-than_sign,65,8,1418
Noun_phrase,79,25,3506
Clause,74,40,3681
Technical_definition,9,1,787
Conjecture,153,46,3374
Deductive_reasoning,341,63,9166
Formal_proof,297,9,1287
Lemma_(mathematics),288,49,1077
Corollary,15,33,865
Neologism,164,83,3021
Homeomorphism,144,50,2258
Logical_disjunction,570,49,3730
Exclusive_or,197,32,5000
Free_module,97,17,2243
Flat_module,151,12,5293
Ring_(mathematics),534,67,15168
Mathematical_model,176,56,5229
Perihelion_precession_of_Mercury,920,15,12382
Einstein,1670,227,25814
General_relativity,1747,112,22537
Newton%27s_law_of_gravitation,427,90,5106
Falsifiable,840,46,21046
Counterexample,43,27,1475
Experimentation,599,83,5826
Gottfried_Wilhelm_Leibniz,2394,155,22954
Technology,1202,188,11724
Planet,1743,233,21472
Pure_mathematics_in_Ancient_Greece,87,55,2410
Integer_factorization,310,35,3486
RSA_cryptosystem,377,51,8420
Computer_network,885,112,12646
Karl_Weierstrass,163,70,2346
Richard_Dedekind,184,62,2276
World_War_II,2601,233,27846
Theory_of_distributions,531,24,27184
Laurent_Schwartz,174,38,2288
Quantum_mechanics,1051,137,13240
Decidability_of_the_first-order_theory_of_the_real_numbers,299,2,1252
Alfred_Tarski,278,48,6149
Implementation_(computer_science),21,24,1058
George_E._Collins,28,3,605
Cylindrical_algebraic_decomposition,11,1,672
Real_algebraic_geometry,192,2,3329
University,827,175,10896
Faculty_of_Mathematics_University_of_Cambridge,261,1,1390
University_of_Cambridge,1754,123,20986
Unreasonable_effectiveness_of_mathematics,213,8,2710
Eugene_Wigner,1452,86,8891
Prime_factorization,310,35,3490
Internet,1377,223,18385
Ellipse,300,97,17959
Ancient_Greek_mathematicians,855,31,4731
Conic_section,306,78,10310
Cone,94,103,2896
Johannes_Kepler,641,148,13444
Trajectories,82,50,2651
Manifold,619,55,10926
Albert_Einstein,1655,227,25811
Theory_of_relativity,778,113,4549
Spacetime,767,90,21375
Special_relativity,952,110,28373
Positron,465,89,4356
Omega_baryon,299,26,1589
Particle,412,61,2332
Relationship_between_mathematics_and_physics,140,4,3108
Theoretical_computer_science,519,40,5587
Information_theory,922,74,9319
Sphere_packing,190,12,3633
Giant_pufferfish,64,22,754
Turing_pattern,135,5,2313
Reaction%E2%80%93diffusion_system,160,8,3615
Biology,1610,248,14772
Neurobiology,928,75,9780
Evolutionary_fitness,642,39,3243
Population_dynamics,238,25,3978
Lotka%E2%80%93Volterra_equations,400,26,5159
Statistical_hypothesis_testing,774,46,11527
Clinical_trial,995,43,14702
Structural_geology,278,41,3589
Meteorology,904,137,11429
Oceanography,2170,99,10320
Planetology,524,70,4216
Historical_dynamics,106,1,1872
Economics,1387,190,18511
Sociology,1596,168,19396
Psychology,1496,201,27112
Supply_and_demand,586,75,6038
Homo_economicus,355,26,4735
Rational_choice_theory,247,31,7832
Perfect_information,223,19,1344
Calculations,31,53,825
Nikolai_Kondratiev,84,32,2491
Kondratiev_cycle,136,21,4307
Geopolitics,908,78,7656
Peter_Turchin,109,10,2073
Cliodynamics,750,15,4213
Fashionable_Nonsense,166,10,2710
Alan_Sokal,136,28,1507
Jean_Bricmont,72,12,729
Complex_systems,476,35,5134
Pythagoras,1388,157,15607
Plato,2415,216,13630
Mathematical_Platonism,29,3,865
Armand_Borel,117,17,1390
G._H._Hardy,425,66,4510
Charles_Hermite,119,49,1849
Henri_Poincar%C3%A9,998,95,12715
Definitions_of_mathematics,52,1,1921
Epistemology,1054,131,19058
Saunders_Mac_Lane,822,26,4277
Mathematics_form_and_function,85,1,807
Mathematical_rigor,118,5,2141
Intuition,286,58,4512
Concision,50,4,1340
Feit%E2%80%93Thompson_theorem,103,8,3110
Computer-assisted_proof,430,9,2819
Quasi-empiricism_in_mathematics,59,1,1324
Weierstrass_function,158,28,2922
Apodictic,178,12,850
Pleonasm,240,53,5639
Human_activity,591,26,6667
Mathematician,143,101,2942
List_of_mathematics_awards,507,4,4695
Popular_mathematics,90,5,1377
STEM,287,47,10620
Statistician,340,23,1458
Actuary,341,51,6212
Financial_analyst,249,12,3337
Economist,224,65,2329
Accountant,181,52,3729
Commodity_trader,117,25,658
Information_technology_consulting,42,11,538
Ancient_Near_East,1831,47,7861
Greco-Roman_world,1168,22,3129
Rhind_papyrus,338,40,15785
Oral_tradition,480,55,13496
Vedic_period,1286,55,11437
Imperial_China,1776,96,18700
Tang_dynasty,1565,118,22043
